,diff,Open,High,Low,Close,ma12,ma25,bb1_top,bb1_bottom,bb2_top,bb2_bottom,macd,signal,pDI,mDI,diffDI,dx,adx,separation,tenkan,kijun,senkou1,senkou2,chikou,pK,pD
2010-08-12,0.0,0.07,0.07,0.06,0.07,0.06333333333333335,0.06320000000000003,0.07122080627701068,0.05517919372298939,0.07924161255402132,0.04715838744597876,-0.0020343826649184965,-0.004609692014164292,0.142857142857143,0.142857142857143,0.0,0.0,,0.10759493670886026,0.07500000000000001,0.08499999999999999,,,0.06,0.0,0.0
2010-08-13,-0.010000000000000009,0.07,0.07,0.06,0.06,0.06333333333333335,0.06240000000000004,0.06963417813807027,0.05516582186192981,0.0768683562761405,0.04793164372385958,-0.002336022436249474,-0.004166447435336775,0.142857142857143,0.142857142857143,0.0,0.0,,-0.038461538461539095,0.07500000000000001,0.08499999999999999,,,0.06,-1.0000000000000013,-0.3333333333333338
2010-08-14,0.010000000000000009,0.06,0.07,0.06,0.07,0.06416666666666669,0.06240000000000004,0.06963417813807027,0.05516582186192981,0.0768683562761405,0.04793164372385958,-0.0017480077563948454,-0.0036830595150233133,0.142857142857143,0.142857142857143,0.0,0.0,0.5714285714285713,0.12179487179487121,0.07500000000000001,0.07500000000000001,,,0.06,0.0,-0.3333333333333338
2010-08-15,0.0,0.07,0.07,0.06,0.07,0.06500000000000002,0.062000000000000034,0.06845497224367905,0.055545027756321017,0.07490994448735808,0.04909005551264199,-0.0012673921780882863,-0.0031737289530364013,0.142857142857143,0.142857142857143,0.0,0.0,0.5357142857142856,0.12903225806451563,0.07500000000000001,0.07500000000000001,,,0.06,0.0,-0.3333333333333338
2010-08-16,0.0,0.07,0.07,0.06,0.07,0.06583333333333335,0.06280000000000004,0.06893731754650735,0.05666268245349272,0.07507463509301467,0.05052536490698541,-0.0008763982956191685,-0.0026498772964276907,0.1250000000000001,0.1250000000000001,0.0,0.0,0.4999999999999999,0.11464968152866188,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
2010-08-17,0.0,0.07,0.08,0.06,0.07,0.0666666666666667,0.06320000000000003,0.0694716292407423,0.05692837075925778,0.07574325848148454,0.05065674151851553,-0.0005600766122531159,-0.0021206185332817724,0.20000000000000004,0.10000000000000009,0.09999999999999995,0.333333333333333,0.4999999999999999,0.10759493670886026,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
2010-08-18,0.0,0.07,0.07,0.07,0.07,0.06750000000000002,0.06400000000000004,0.06977350269189629,0.05822649730810379,0.07554700538379255,0.05245299461620754,-0.0003058635940916543,-0.0016817905161927284,0.20000000000000004,0.10000000000000009,0.09999999999999995,0.333333333333333,0.4999999999999999,0.09374999999999938,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
2010-08-19,0.0,0.07,0.07,0.07,0.07,0.06833333333333336,0.06480000000000004,0.06989901951359281,0.059700980486407255,0.0749980390271856,0.05460196097281447,-0.00010320822551394826,-0.0013188136878045282,0.20000000000000004,0.10000000000000009,0.09999999999999995,0.333333333333333,0.4523809523809522,0.08024691358024638,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
2010-08-20,0.0,0.07,0.07,0.06,0.07,0.0691666666666667,0.06520000000000004,0.07029901951359283,0.06010098048640725,0.0753980390271856,0.05500196097281447,5.674351027215585e-05,-0.0010194009169840926,0.18181818181818182,0.18181818181818196,-1.3877787807814457e-16,3.816391647148974e-16,0.3809523809523808,0.07361963190184001,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
2010-08-21,0.0,0.07,0.07,0.06,0.07,0.0691666666666667,0.06560000000000005,0.07066622805119027,0.06053377194880982,0.0757324561023805,0.055467543897619605,0.0001814151720957724,-0.0007732011573158405,0.16666666666666666,0.16666666666666677,-1.1102230246251565e-16,3.3306690738754686e-16,0.30952380952380937,0.06707317073170666,0.07500000000000001,0.07500000000000001,,,0.06,0.0,0.0
